q,r0_gap_g,r0_count,r0_mean_omega,neighbor_gaps,neighbor_mean_omega_unweighted,neighbor_mean_omega_countweighted,excess_vs_neighbor_unweighted,excess_vs_neighbor_countweighted
3,324,2.0,12.47594629950927,"322,326",12.467660613868345,12.467660613868345,0.008285685640924356,0.008285685640924356
3,330,2.0,12.688649243508747,328,12.565750126194358,12.565750126194358,0.12289911731438963,0.12289911731438963
3,336,1.0,12.992889371841638,"334,338",12.979457747404421,12.923572851489585,0.013431624437217238,0.0693165203520536
3,342,3.0,13.24195318809941,"340,344",13.215829529481512,13.215829529481512,0.026123658617898116,0.026123658617898116
3,348,1.0,13.42760858517779,"346,350",13.495350307059113,13.475336892765867,-0.06774172188132255,-0.047728307588077
5,10,4470125.0,0.1847756663021587,"8,12",0.2272146746664599,0.24413660796189124,-0.0424390083643012,-0.05936094165973255
5,20,2760587.0,0.6161823769796403,"18,22",0.5394555962538429,0.5200296686070094,0.07672678072579742,0.0961527083726309
5,30,3760508.0,0.956860342925816,"28,32",0.9438527724206605,0.9134155973346217,0.013007570505155552,0.04344474559119427
5,40,1282787.0,1.2941262946629872,"38,42",1.3404280135994315,1.3662671528336456,-0.0463017189364443,-0.0721408581706584
5,50,768679.0,1.7413512997030984,"48,52",1.7121845619329403,1.6825233029255755,0.029166737770158102,0.05882799677752293
5,60,1014907.0,2.104260480004093,"58,62",2.101353423242141,2.0766857477208176,0.0029070567619520205,0.02757473228327534
5,70,396665.0,2.474477352339109,"68,72",2.527079098364951,2.5447770038923245,-0.05260174602584211,-0.07029965155321571
5,80,200825.0,2.905205851942365,"78,82",2.871115649289883,2.834196824754198,0.034090202652482304,0.07100902718816693
5,90,254546.0,3.29861936056565,"88,92",3.291775625369535,3.2751010589758334,0.0068437351961150306,0.023518301589816826
5,100,84574.0,3.646106159942829,"98,102",3.6856847358785365,3.7009041735412658,-0.03957857593570768,-0.054798013598436945
5,110,55701.0,4.099870536027404,"108,112",4.038734547640384,4.0129284153272025,0.0611359883870195,0.08694212070020146
5,120,66630.0,4.445346608715415,"118,122",4.436934558837089,4.417690379289924,0.008412049878325334,0.02765622942549051
5,130,22892.0,4.835165434581119,"128,132",4.878019782819367,4.901318468834527,-0.042854348238248186,-0.06615303425340802
5,140,15012.0,5.275387732160521,"138,142",5.228497577701656,5.190656968888114,0.046890154458864686,0.08473076327240658
5,150,16463.0,5.622487882081954,"148,152",5.617597771609816,5.595482510409235,0.004890110472137721,0.027005371672718326
5,160,5128.0,6.023509769499084,"158,162",6.035621776495413,6.0548134418775845,-0.012112006996328972,-0.031303672378500735
5,170,3328.0,6.454854549081229,"168,172",6.410718024740815,6.362832649278143,0.04413652434041371,0.09202189980308528
5,180,4162.0,6.807073715792341,"178,182",6.81855476469421,6.814389375810929,-0.011481048901869073,-0.00731566001858841
5,190,1422.0,7.1536638914597255,"188,192",7.239627791148095,7.2562081634696,-0.0859638996883696,-0.10254427200987415
